From_Station,From_City,To_Station,To_City,Fare_Rate
Groningen,Groningen,Breda,Breda,284
Groningen,Groningen,Bunnik,Bunnik,201
Groningen,Groningen,Delft,Delft,262
Groningen,Groningen,Deventer,Deventer,137
Groningen,Groningen,Diemen,Diemen,210
Groningen,Groningen,Driebergen-Zeist,Zeist,205
Groningen,Groningen,Dronten,Dronten,138
Groningen,Groningen,Ede Centrum,Ede,201
Groningen,Groningen,Ede-Wageningen,Wageningen,199
Groningen,Groningen,Eindhoven Centraal,Eindhoven,273
Groningen,Groningen,Enschede,Enschede,173
Groningen,Groningen,Haarlem,Haarlem,236
Groningen,Groningen,Harlingen,Harlingen,80
Groningen,Groningen,Heerlen,Heerlen,207
Groningen,Groningen,Hilversum,Hilversum,188
Groningen,Groningen,Leeuwarden,Leeuwarden,54
Groningen,Groningen,Leiden Centraal,Leiden,243
Groningen,Groningen,Maarn,Utrechtse Heuvelrug,213
Groningen,Groningen,Maastricht,Maastricht,233
Groningen,Groningen,Nijmegen,Nijmegen,201
Groningen,Groningen,Rheden,Rheden,172
Groningen,Groningen,Rotterdam Centraal,Rotterdam,249
Groningen,Groningen,Tilburg,Tilburg,263
Groningen,Groningen,Utrecht Centraal,Utrech,193
Groningen,Groningen,Vlissingen,Vlissingen,381
Groningen,Groningen,Zwolle,Zwolle,106
Haarlem,Haarlem,Amsterdam Centraal,Amsterdam,19
Haarlem,Haarlem,Arnhem Centraal,Arnhem,115
Haarlem,Haarlem,Breda,Breda,117
Haarlem,Haarlem,Bunnik,Bunnik,66
Haarlem,Haarlem,Delft,Delft,53
Haarlem,Haarlem,Deventer,Deventer,122
Haarlem,Haarlem,Diemen,Diemen,26
Haarlem,Haarlem,Driebergen-Zeist,Zeist,70
Haarlem,Haarlem,Dronten,Dronten,98
Haarlem,Haarlem,Ede Centrum,Ede,96
Haarlem,Haarlem,Ede-Wageningen,Wageningen,98
Haarlem,Haarlem,Eindhoven Centraal,Eindhoven,138
Haarlem,Haarlem,Enschede,Enschede,178
Haarlem,Haarlem,Groningen,Groningen,236
Haarlem,Haarlem,Harlingen,Harlingen,251
Haarlem,Haarlem,Heerlen,Heerlen,142
Haarlem,Haarlem,Hilversum,Hilversum,48
Haarlem,Haarlem,Leeuwarden,Leeuwarden,225
Haarlem,Haarlem,Leiden Centraal,Leiden,29
Haarlem,Haarlem,Maarn,Utrechtse Heuvelrug,78
Haarlem,Haarlem,Maastricht,Maastricht,168
Haarlem,Haarlem,Nijmegen,Nijmegen,134
Haarlem,Haarlem,Rheden,Rheden,125
Haarlem,Haarlem,Rotterdam Centraal,Rotterdam,67
Haarlem,Haarlem,Tilburg,Tilburg,128
Haarlem,Haarlem,Utrecht Centraal,Utrech,58
Haarlem,Haarlem,Vlissingen,Vlissingen,200
Haarlem,Haarlem,Zwolle,Zwolle,130
Heerlen,Heerlen,Amsterdam Centraal,Amsterdam,123
Heerlen,Heerlen,Arnhem Centraal,Arnhem,27
Heerlen,Heerlen,Breda,Breda,132
Heerlen,Heerlen,Bunnik,Bunnik,77
Heerlen,Heerlen,Delft,Delft,154
Heerlen,Heerlen,Deventer,Deventer,70
Heerlen,Heerlen,Diemen,Diemen,116
Heerlen,Heerlen,Driebergen-Zeist,Zeist,73
Heerlen,Heerlen,Dronten,Dronten,133
Heerlen,Heerlen,Ede Centrum,Ede,46
Heerlen,Heerlen,Ede-Wageningen,Wageningen,44
Heerlen,Heerlen,Eindhoven Centraal,Eindhoven,96
Heerlen,Heerlen,Enschede,Enschede,107
Heerlen,Heerlen,Groningen,Groningen,207
Heerlen,Heerlen,Haarlem,Haarlem,142
Heerlen,Heerlen,Harlingen,Harlingen,222
Heerlen,Heerlen,Hilversum,Hilversum,94
Heerlen,Heerlen,Leeuwarden,Leeuwarden,196
Heerlen,Heerlen,Leiden Centraal,Leiden,135
Heerlen,Heerlen,Maarn,Utrechtse Heuvelrug,65
Heerlen,Heerlen,Maastricht,Maastricht,26
Heerlen,Heerlen,Nijmegen,Nijmegen,46
Heerlen,Heerlen,Rheden,Rheden,35
Heerlen,Heerlen,Rotterdam Centraal,Rotterdam,141
Heerlen,Heerlen,Tilburg,Tilburg,111
Heerlen,Heerlen,Utrecht Centraal,Utrech,85
Heerlen,Heerlen,Vlissingen,Vlissingen,231
Heerlen,Heerlen,Zwolle,Zwolle,101
Hilversum,Hilversum,Amsterdam Centraal,Amsterdam,29
Hilversum,Hilversum,Arnhem Centraal,Arnhem,67
Hilversum,Hilversum,Breda,Breda,109
Hilversum,Hilversum,Bunnik,Bunnik,26
Hilversum,Hilversum,Delft,Delft,87
Hilversum,Hilversum,Deventer,Deventer,74
Hilversum,Hilversum,Diemen,Diemen,22
Hilversum,Hilversum,Driebergen-Zeist,Zeist,30
Hilversum,Hilversum,Dronten,Dronten,80
Hilversum,Hilversum,Ede Centrum,Ede,48
Hilversum,Hilversum,Ede-Wageningen,Wageningen,50
Hilversum,Hilversum,Eindhoven Centraal,Eindhoven,98
Hilversum,Hilversum,Enschede,Enschede,130
Hilversum,Hilversum,Groningen,Groningen,188
Hilversum,Hilversum,Haarlem,Haarlem,48
Hilversum,Hilversum,Harlingen,Harlingen,203
Hilversum,Hilversum,Heerlen,Heerlen,94
Hilversum,Hilversum,Leeuwarden,Leeuwarden,177
Hilversum,Hilversum,Leiden Centraal,Leiden,68
Hilversum,Hilversum,Maarn,Utrechtse Heuvelrug,38
Hilversum,Hilversum,Maastricht,Maastricht,120
Hilversum,Hilversum,Nijmegen,Nijmegen,86
Hilversum,Hilversum,Rheden,Rheden,77
Hilversum,Hilversum,Rotterdam Centraal,Rotterdam,74
Hilversum,Hilversum,Tilburg,Tilburg,88
Hilversum,Hilversum,Utrecht Centraal,Utrech,18
Hilversum,Hilversum,Vlissingen,Vlissingen,206
Hilversum,Hilversum,Zwolle,Zwolle,82
Leeuwarden,Leeuwarden,Amsterdam Centraal,Amsterdam,206
Leeuwarden,Leeuwarden,Arnhem Centraal,Arnhem,171
Leeuwarden,Leeuwarden,Breda,Breda,273
Leeuwarden,Leeuwarden,Bunnik,Bunnik,190
Leeuwarden,Leeuwarden,Delft,Delft,251
Leeuwarden,Leeuwarden,Deventer,Deventer,126
Leeuwarden,Leeuwarden,Diemen,Diemen,199
Leeuwarden,Leeuwarden,Driebergen-Zeist,Zeist,194
Leeuwarden,Leeuwarden,Dronten,Dronten,127
Leeuwarden,Leeuwarden,Ede Centrum,Ede,190
Leeuwarden,Leeuwarden,Ede-Wageningen,Wageningen,188
Leeuwarden,Leeuwarden,Eindhoven Centraal,Eindhoven,262
Leeuwarden,Leeuwarden,Enschede,Enschede,162
Leeuwarden,Leeuwarden,Groningen,Groningen,54
Leeuwarden,Leeuwarden,Haarlem,Haarlem,225
Leeuwarden,Leeuwarden,Harlingen,Harlingen,26
Leeuwarden,Leeuwarden,Heerlen,Heerlen,196
Leeuwarden,Leeuwarden,Hilversum,Hilversum,177
Leeuwarden,Leeuwarden,Leiden Centraal,Leiden,232
Leeuwarden,Leeuwarden,Maarn,Utrechtse Heuvelrug,202
