From_Station,From_Country,To_Station,To_Country,Fare_Rate
Vlissingen,NL,Dronten,NL,285
Zwolle,NL,Dronten,NL,32
Arnhem Centraal,NL,Delft,NL,127
Amersfoort Centraal,NL,Delft,NL,90
Breda,NL,Delft,NL,64
Bunnik,NL,Delft,NL,77
Driebergen-Zeist,NL,Delft,NL,81
Diemen,NL,Delft,NL,75
Dronten,NL,Delft,NL,142
Deventer,NL,Delft,NL,148
Ede-Wageningen,NL,Delft,NL,110
Ede Centrum,NL,Delft,NL,112
Eindhoven Centraal,NL,Delft,NL,122
Enschede,NL,Delft,NL,204
Groningen,NL,Delft,NL,262
Haarlem,NL,Delft,NL,53
Heerlen,NL,Delft,NL,154
Hilversum,NL,Delft,NL,87
Leiden Centraal,NL,Delft,NL,24
Leeuwarden,NL,Delft,NL,251
Maarn,NL,Delft,NL,89
Nijmegen,NL,Delft,NL,136
Rheden,NL,Delft,NL,137
Rotterdam Centraal,NL,Delft,NL,14
Tilburg,NL,Delft,NL,85
Utrecht Centraal,NL,Delft,NL,69
Vlissingen,NL,Delft,NL,147
Zwolle,NL,Delft,NL,156
Arnhem Centraal,NL,Deventer,NL,45
Amersfoort Centraal,NL,Deventer,NL,58
Breda,NL,Deventer,NL,150
Bunnik,NL,Deventer,NL,87
Driebergen-Zeist,NL,Deventer,NL,91
Diemen,NL,Deventer,NL,96
Dronten,NL,Deventer,NL,63
Delft,NL,Deventer,NL,148
Ede-Wageningen,NL,Deventer,NL,62
Ede Centrum,NL,Deventer,NL,64
Eindhoven Centraal,NL,Deventer,NL,139
Enschede,NL,Deventer,NL,61
Groningen,NL,Deventer,NL,137
Haarlem,NL,Deventer,NL,122
Heerlen,NL,Deventer,NL,70
Hilversum,NL,Deventer,NL,74
Leiden Centraal,NL,Deventer,NL,129
Leeuwarden,NL,Deventer,NL,126
Maarn,NL,Deventer,NL,83
Nijmegen,NL,Deventer,NL,64
Rheden,NL,Deventer,NL,35
Rotterdam Centraal,NL,Deventer,NL,135
Tilburg,NL,Deventer,NL,129
